# DF COMPASS 파리티 원장 정본 — 감리자 생성 20260816, v1 HEAD↔v2 233cef2
# 처분 어휘: PORTED/SEMANTIC/EXCLUDED/IMPLEMENT/PENDING (게이트 정합) · 전 필드 단일행 보장
layer,src,item,disposition,basis
UI,ui/feedback.py:14,출처가 부족해요,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:15,질문 의도 못 파악,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:16,답변이 모호함,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:17,신고·문의 안내 누락,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:22,출처가 명확,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:23,실무에 바로 적용 가능,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:79,🔄 다시 답변,PORTED,동일 문자열
UI,ui/feedback.py:96,📞 인사교육팀 문의 닫기,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:97,📞 인사교육팀 문의,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:102,💼 클린신고 안내 닫기,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:103,💼 클린신고 안내,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:108,📞 신고 방법 안내 닫기,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:109,📞 신고 방법 안내,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:116,"color:#9A968D;margin:8px 0 6px 2px;"">다음 단계 예측</div>",SEMANTIC,[PORTED-EQUIV] 유사 대응(100%): 다음 단계 예측
UI,ui/feedback.py:136,🔄 다시 답변 받음,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:283,✅ 피드백 감사합니다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:306,✅ 피드백 감사합니다.,PORTED,동일 문자열
UI,ui/feedback.py:313,**이 답변이 정확하고 도움이 되셨나요?**,PORTED,동일 문자열
UI,ui/feedback.py:314,베타 단계입니다. 여러분의 피드백이 답변 품질 개선에 직결됩니다.,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,ui/feedback.py:317,👍 도움됐어요,PORTED,동일 문자열
UI,ui/feedback.py:320,👎 아쉬워요,PORTED,동일 문자열
UI,ui/feedback.py:334,피드백 저장 실패 — 다시 시도해주세요,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,ui/feedback.py:357,background:#fff; font-weight:600;'>✓ 👍 도움됐어요</div>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:362,background:#fafafa;'>👍 도움됐어요</div>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:367,background:#fff; font-weight:600;'>✓ 👎 아쉬워요</div>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:372,background:#fafafa;'>👎 아쉬워요</div>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:382,어떤 점이 좋았나요? (복수 선택 가능),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:383,어떤 점이 아쉬웠나요? (복수 선택 가능),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:391,자유 의견 (선택),PORTED,동일 문자열
UI,ui/feedback.py:393,구체적인 의견을 자유롭게 적어주세요 (선택),PORTED,동일 문자열
UI,ui/feedback.py:414,피드백 저장 실패 — 운영자에게 보고해주세요,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,ui/feedback.py:427,🔗 관련 질문,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:440,🔗 관련 질문 모드 — 다음 입력은 이전 답변과 연결됩니다,EXCLUDED,[DECIDED-OUT] 의결 4항 백로그
UI,ui/feedback.py:446,✨ 새 주제로 시작합니다,EXCLUDED,[DECIDED-OUT] 의결 4항 귀속
UI,ui/home.py:10,선물 받았어요,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/home.py:11,동료가 다쳤어요. 긴급 보고는 어떻게 하나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/home.py:18,"FAQ 캐시(show_on_home) 기반 홈 칩 [(label, query)]. 실패/빈 결과 시 [].",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/home.py:99,사규·윤리 관련 무엇이든 물어보세요…,PORTED,동일 문자열
UI,ui/panels.py:13,신고·조사는 CSR팀 또는 신세계면세점 핫라인,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/panels.py:14,CSR팀 문의,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/panels.py:20,**📞 신고 방법 안내**,PORTED,동일 문자열
UI,ui/panels.py:22,신고·조사 사항은 **CSR팀** 또는 **신세계면세점 핫라인**으로,SEMANTIC,[PORTED-EQUIV] 유사 대응(71%): 신고·조사 사항은 CSR팀 또는 신세계면세점 핫라인으로
UI,ui/panels.py:23,접수해 주시기 바랍니다.,PORTED,동일 문자열
UI,ui/panels.py:26,**📋 1차 보고**: SRMS 시스템 즉시 등록 (인지 시점 24시간 內),PORTED,동일 문자열
UI,ui/panels.py:30,🔗 SRMS 바로가기,PORTED,동일 문자열
UI,ui/panels.py:36,🏢 신세계면세점 핫라인,PORTED,동일 문자열
UI,ui/panels.py:42,🔒 사내 익명 제보 채널,PORTED,동일 문자열
UI,ui/panels.py:47,📞 외부 상담채널: {ext_hotline},PORTED,동일 문자열
UI,ui/panels.py:49,"⚠️ 본 답변은 사규 해석 보조이며, 실제 신고는 사규 절차에 따라",PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,ui/panels.py:50,직접 진행하시기 바랍니다.,PORTED,동일 문자열
UI,ui/panels.py:58,신고 방법 안내,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/panels.py:63,**💼 클린신고 (자진 신고) 안내**,PORTED,동일 문자열
UI,ui/panels.py:65,금품·향응 수수 등 이해관계자와의 비위 행위는,PORTED,동일 문자열
UI,ui/panels.py:66,**SHRS**의 **클린신고신청서**를 통해 자진 신고하시기 바랍니다.,PORTED,동일 문자열
UI,ui/panels.py:69,**📋 등록방법**: \n,PORTED,동일 문자열
UI,ui/panels.py:70,SHRS → **윤리경영** → **윤리실천등록** → **클린신고신청서**,SEMANTIC,[PORTED-EQUIV] 유사 대응(67%): **윤리실천등록** → **클린신고신청서**
UI,ui/panels.py:73,**📋 신고 기한**: 수수 확인일로부터 **3일 이내**,PORTED,동일 문자열
UI,ui/panels.py:74,(7일 이내 자진 신고 시 징계 감경 가능),PORTED,동일 문자열
UI,ui/panels.py:77,🔗 SHRS 바로가기,PORTED,동일 문자열
UI,ui/panels.py:104,**📞 인사교육팀 문의 채널**,PORTED,동일 문자열
UI,ui/panels.py:105,인사교육팀에 직접 문의하세요.,PORTED,동일 문자열
UI,ui/panels.py:109,💬 사내 인사 챗봇,PORTED,동일 문자열
UI,ui/panels.py:111,🔒 익명 신고 채널,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,ui/panels.py:117,"⚠️ 본 답변은 사규 해석 보조이며, 인사 행정 결정은 인사교육팀 문의가 우선합니다.",PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,ui/render.py:14,본 query 에 직접 매칭되는 사규가 검색되지 않았습니다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:15,질문하신 내용에 직접 해당하는 사규를 찾지 못했습니다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:20,직접 매칭 미발견,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:87,보조 참고 — 정확한 사항은 {dept} 확인,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:88,검색 hit 부족 — {dept} 확인 권장,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:118,⏱️ {elapsed:.1f}초,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:120,⏱️ <0.1초,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:161,{icon} <strong style='color:{color};'>{label}</strong> 카테고리,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/render.py:207,💡 <strong>이런 질문도 해볼 수 있어요</strong></div>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
